Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1961","950.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1962","1000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1963","1075.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1964","1015.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1965","1225.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1966","1030.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1967","1375.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1968","1480.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1969","1485.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1970","1490.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1971","1500.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1972","1525.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1973","1550.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1974","1575.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1975","1615.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1976","1675.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1977","1750.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1978","1840.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1979","1940.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1980","2025.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1981","2125.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1982","2250.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1983","2175.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1984","2150.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1985","2250.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1986","2450.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1987","2750.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1988","2750.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1989","2850.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1990","3000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1991","3219.00","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1992","3000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1993","3000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1994","3000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1995","3000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1996","3000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1997","3000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1998","3000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","1999","3388.00","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","2000","2000.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","2001","680.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","2002","850.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","2003","1050.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","2004","1300.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","2005","1600.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","2006","2100.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","2007","2600.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","2008","3200.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","2009","4300.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","2010","4700.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","2011","5200.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","2012","5200.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1062","Eggs, hen, in shell","2013","5200.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1961","4.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1962","4.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1963","4.00","","Official data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1964","4.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1965","4.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1966","4.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1967","4.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1968","4.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1969","4.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1970","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1971","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1972","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1973","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1974","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1975","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1976","6.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1977","6.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1978","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1979","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1980","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1981","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1982","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1983","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1984","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1985","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1986","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1987","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1988","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1989","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1990","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1991","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1992","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1993","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1994","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1995","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1996","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1997","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1998","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","1999","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","2000","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","2001","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","2002","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","2003","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","2004","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","2005","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","2006","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","2007","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","2008","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","2009","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","2010","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","2011","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","2012","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1091","Eggs, other bird, in shell","2013","5.00","F","FAO estimate"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1961","954.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1962","1004.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1963","1079.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1964","1019.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1965","1229.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1966","1034.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","197","Sierra Leone","5313","Laying","1783","Eggs Primary","1967","1379.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
