MonthYear,EventCode,N_events
201002,012,139
201002,134,8
201002,1712,8
201002,081,2
201002,153,2
201002,033,10
201002,070,104
201002,0256,6
201002,1121,4
201002,055,2
201002,027,2
201002,0253,6
201002,025,8
201002,150,13
201002,160,19
201002,173,355
201002,114,91
201002,057,71
201002,054,4
201002,196,15
201002,023,10
201002,1723,2
201002,140,6
201002,141,54
201002,074,1
201002,172,18
201002,183,9
201002,084,74
201002,1124,12
201002,1384,2
201002,086,2
201002,166,1
201002,073,23
201002,010,575
201002,015,20
201002,1053,3
201002,1823,2
201002,014,32
201002,053,2
201002,182,12
201002,022,12
201002,170,8
201002,174,13
201002,181,48
201002,1383,8
201002,043,623
201002,071,105
201002,102,1
201002,1013,3
201002,1724,22
201002,031,20
201002,062,4
201002,193,192
201002,163,2
201002,192,66
201002,051,600
201002,171,4
201002,052,5
201002,037,4
201002,075,14
201002,072,25
201002,050,107
201002,100,57
201002,0833,1
201002,026,42
201002,0353,2
201002,041,34
201002,186,7
201002,063,1
201002,1831,4
201002,120,110
201002,017,9
201002,203,1
201002,044,9
201002,1822,1
201002,113,1
201002,045,16
201002,090,86
201002,0331,7
201002,0871,105
201002,0874,50
201002,152,25
201002,110,172
201002,145,4
201002,154,29
201002,032,10
201002,0311,19
201002,112,212
201002,0214,1
201002,0333,1
201002,191,4
201002,018,10
201002,1123,34
201002,133,2
201002,180,66
201002,0332,7
201002,0356,33
201002,128,11
201002,130,73
201002,190,987
201002,1241,1
201002,035,3
201002,0231,13
201002,1043,1
201002,061,31
201002,042,662
201002,175,6
201002,040,891
201002,036,170
201002,046,564
201002,080,148
201002,064,2
201002,127,3
201002,1711,3
201002,139,4
201002,0233,4
201002,0841,192
201002,194,10
201002,1056,1
201002,1821,3
201002,125,12
201002,111,81
201002,030,190
201002,195,69
201002,020,425
201002,016,20
201002,1246,27
201002,060,144
201002,013,132
201002,185,1
201002,161,7
201002,0211,3
201002,138,50
201002,011,15
201003,060,32
201003,1712,2
201003,042,141
201003,186,2
201003,175,3
201003,037,1
201003,0211,4
201003,019,2
201003,1722,2
201003,027,1
201003,113,12
201003,040,134
201003,0831,2
201003,013,23
201003,030,26
201003,0833,4
201003,166,1
201003,0332,3
201003,023,2
201003,1721,1
201003,070,18
201003,061,6
201003,071,31
201003,150,10
201003,1053,2
201003,161,8
201003,145,10
201003,174,3
201003,046,109
201003,0842,11
201003,172,19
201003,075,3
201003,196,5
201003,043,129
201003,0841,32
201003,195,45
201003,057,41
201003,193,53
201003,120,30
201003,111,37
201003,182,6
201003,084,29
201003,134,2
201003,100,7
201003,044,4
201003,087,3
201003,051,79
201003,012,35
201003,045,1
201003,112,50
201003,033,1
201003,016,4
201003,130,30
201003,1711,22
201003,1233,2
201003,0233,1
201003,180,26
201003,0874,2
201003,138,22
201003,011,7
201003,170,3
201003,014,15
201003,1124,4
201003,162,5
201003,1123,26
201003,018,3
201003,072,2
201003,0356,1
201003,181,11
201003,114,24
201003,081,5
201003,053,2
201003,020,139
201003,036,39
201003,010,155
201003,015,9
201003,050,40
201003,080,15
201003,125,7
201003,191,2
201003,154,3
201003,025,1
201003,133,2
201003,017,2
201003,1044,2
201003,128,2
201003,1383,2
201003,0871,5
201003,110,16
201003,090,27
201003,160,5
201003,073,3
201003,173,212
201003,041,10
201003,190,313
201003,026,14
201003,1723,1
201003,031,2
201003,141,38
201004,145,5
201004,051,186
201004,0241,1
201004,1822,3
201004,186,24
201004,033,8
201004,139,1
201004,0353,4
201004,172,21
201004,055,1
201004,071,39
201004,042,308
201004,026,10
201004,143,1
201004,025,3
201004,195,41
201004,163,2
201004,075,13
201004,1711,5
201004,112,91
201004,057,81
201004,081,2
201004,020,113
201004,1044,2
201004,012,59
201004,023,3
201004,1124,32
201004,056,2
201004,111,67
201004,130,57
201004,014,5
201004,080,24
201004,181,27
201004,010,243
201004,015,7
201004,170,7
201004,0331,4
201004,141,26
201004,0253,1
201004,162,2
201004,030,27
201004,161,19
201004,018,5
201004,0311,3
201004,0833,10
201004,164,2
201004,043,286
201004,1125,2
201004,061,14
201004,128,8
201004,028,5
201004,1123,1
201004,1241,12
201004,138,12
201004,160,8
201004,074,1
201004,1712,2
201004,090,99
201004,011,4
201004,027,2
201004,133,4
201004,175,2
201004,125,1
201004,140,3
201004,093,2
201004,031,15
201004,053,5
201004,194,44
201004,0874,1
201004,154,9
201004,045,1
201004,050,48
201004,120,26
201004,0211,4
201004,0332,1
201004,035,2
201004,182,16
201004,180,14
201004,0871,4
201004,150,16
201004,070,22
201004,110,37
201004,017,18
201004,1384,2
201004,0231,3
201004,022,4
201004,1121,4
201004,060,40
201004,084,42
201004,0841,46
201004,073,22
201004,196,8
201004,036,116
201004,183,10
201004,114,24
201004,173,184
201004,1831,44
201004,0214,6
201004,1383,3
201004,046,188
201004,072,17
201004,142,2
201004,040,287
201004,100,18
201004,1053,2
201004,192,43
201004,063,2
201004,193,42
201004,013,70
201004,190,294
201004,016,11
201004,1832,3
201004,191,27
201004,0831,2
201005,113,1
201005,0311,3
201005,0874,1
201005,183,3
201005,1831,4
201005,060,38
201005,0253,5
201005,053,7
201005,1044,2
201005,1121,2
201005,056,10
201005,0332,1
201005,130,39
201005,1123,9
201005,041,12
201005,073,24
201005,082,1
201005,057,44
201005,012,37
201005,010,273
201005,174,7
201005,081,2
201005,1822,1
201005,045,1
201005,014,8
201005,0234,1
201005,042,376
201005,044,62
201005,110,16
201005,033,2
201005,196,4
201005,190,318
201005,015,13
201005,071,28
201005,038,3
201005,017,40
201005,112,123
201005,013,76
201005,141,21
201005,070,22
201005,062,3
201005,162,3
201005,075,7
201005,180,40
201005,163,1
201005,120,32
201005,061,7
201005,1711,13
201005,194,13
201005,027,5
201005,019,1
201005,074,1
201005,186,20
201005,192,5
201005,154,1
201005,020,161
201005,164,2
201005,171,2
201005,1712,18
201005,170,2
201005,144,1
201005,161,16
201005,046,167
201005,173,256
201005,0831,3
201005,018,13
201005,193,43
201005,195,15
201005,0841,187
201005,1014,12
201005,172,22
201005,1721,7
201005,182,5
201005,125,5
201005,181,211
201005,090,50
201005,128,10
201005,160,11
201005,055,12
201005,0334,9
201005,052,2
201005,143,1
201005,043,360
201005,084,81
201005,031,9
201005,080,44
201005,0214,1
201005,050,20
201005,016,9
201005,051,211
201005,111,49
201005,0833,1
201005,100,29
201005,040,220
201005,1124,6
201005,063,4
201005,026,13
201005,036,57
201005,030,48
201005,1053,24
201005,138,13
201005,150,4
201005,114,19
201005,072,9
201006,014,11
201006,174,57
201006,041,4
201006,0234,1
201006,1053,19
