EventCode,EventDescription,201002,201003,201004,201005,201006,201007,201008,201009,201010,201011,201012,201101,201102,201103,201104,201105,201106,201107,201108,201109,201110,201111,201112,201201,201202,201203,201204,201205,201206,201207,201208,201209,201210,201211,201212,201301,201302,201303,201304,201305,201306,201307,201308,201309,201310,201311,201312,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605
10,DEMAND,347.0,105.0,153.0,171.0,191.0,180.0,224.0,366.0,533.0,597.0,244.0,311.0,578.0,805.0,686.0,749.0,962.0,478.0,299.0,462.0,654.0,424.0,299.0,407.0,445.0,562.0,598.0,683.0,468.0,339.0,295.0,396.0,312.0,242.0,250.0,277.0,254.0,223.0,122.0,146.0,220.0,389.0,769.0,471.0,368.0,385.0,354.0,288.0,349.0,293.0,599.0,504.0,315.0,290.0,386.0,534.0,475.0,372.0,772.0,1055.0,630.0,1436.0,2121.0,1075.0,900.0,689.0,678.0,778.0,759.0,453.0,792.0,623.0,410.0,590.0,646.0,103.0
11,DISAPPROVE,13.0,6.0,3.0,0.0,3.0,1.0,8.0,14.0,8.0,15.0,12.0,17.0,5.0,23.0,7.0,10.0,9.0,6.0,16.0,5.0,6.0,1.0,7.0,4.0,10.0,0.0,3.0,1.0,8.0,13.0,14.0,4.0,5.0,2.0,2.0,2.0,4.0,0.0,4.0,2.0,4.0,8.0,6.0,4.0,18.0,6.0,0.0,1.0,14.0,2.0,6.0,7.0,0.0,9.0,0.0,14.0,12.0,30.0,15.0,4.0,16.0,17.0,37.0,9.0,5.0,4.0,7.0,12.0,11.0,4.0,19.0,3.0,6.0,14.0,15.0,11.0
12,REJECT,72.0,20.0,40.0,19.0,10.0,31.0,31.0,46.0,93.0,90.0,34.0,54.0,122.0,234.0,234.0,210.0,284.0,105.0,85.0,115.0,105.0,59.0,79.0,84.0,86.0,103.0,88.0,118.0,66.0,54.0,66.0,66.0,62.0,39.0,56.0,50.0,56.0,18.0,24.0,8.0,38.0,67.0,133.0,43.0,58.0,54.0,92.0,24.0,80.0,45.0,70.0,67.0,43.0,52.0,87.0,84.0,99.0,100.0,65.0,188.0,181.0,336.0,718.0,282.0,227.0,225.0,144.0,185.0,180.0,85.0,132.0,185.0,115.0,142.0,124.0,24.0
13,THREATEN,94.0,18.0,61.0,51.0,21.0,68.0,55.0,66.0,101.0,194.0,104.0,112.0,150.0,309.0,232.0,211.0,202.0,84.0,64.0,100.0,174.0,122.0,75.0,99.0,154.0,105.0,101.0,203.0,116.0,90.0,67.0,102.0,79.0,61.0,50.0,53.0,69.0,69.0,42.0,30.0,38.0,77.0,203.0,140.0,69.0,88.0,97.0,81.0,75.0,96.0,113.0,123.0,85.0,51.0,85.0,154.0,91.0,158.0,179.0,307.0,219.0,525.0,794.0,380.0,260.0,204.0,215.0,229.0,181.0,139.0,273.0,177.0,138.0,194.0,233.0,40.0
14,PROTEST,15.0,14.0,4.0,7.0,10.0,5.0,12.0,10.0,24.0,33.0,9.0,7.0,26.0,53.0,49.0,30.0,49.0,21.0,17.0,13.0,20.0,34.0,46.0,40.0,161.0,16.0,11.0,32.0,16.0,26.0,14.0,24.0,3.0,12.0,9.0,15.0,8.0,11.0,3.0,19.0,12.0,11.0,18.0,50.0,25.0,8.0,24.0,10.0,26.0,13.0,19.0,78.0,32.0,2.0,19.0,17.0,25.0,13.0,13.0,62.0,19.0,76.0,194.0,28.0,18.0,8.0,29.0,40.0,27.0,27.0,40.0,11.0,17.0,22.0,41.0,3.0
15,EXHIBIT FORCE POSTURE,8.0,9.0,5.0,9.0,4.0,9.0,41.0,20.0,61.0,128.0,27.0,9.0,4.0,28.0,13.0,14.0,36.0,54.0,7.0,0.0,14.0,15.0,1.0,1.0,14.0,41.0,24.0,40.0,14.0,32.0,15.0,26.0,9.0,13.0,7.0,11.0,2.0,6.0,2.0,1.0,4.0,45.0,41.0,36.0,20.0,21.0,64.0,26.0,20.0,14.0,54.0,28.0,3.0,6.0,7.0,55.0,26.0,53.0,61.0,208.0,18.0,135.0,94.0,58.0,73.0,24.0,59.0,103.0,22.0,43.0,93.0,73.0,17.0,78.0,19.0,1.0
16,REDUCE RELATIONS,16.0,4.0,11.0,4.0,5.0,13.0,13.0,34.0,26.0,25.0,11.0,14.0,34.0,74.0,14.0,7.0,77.0,10.0,39.0,32.0,47.0,29.0,4.0,9.0,6.0,26.0,13.0,5.0,8.0,26.0,15.0,35.0,17.0,12.0,6.0,11.0,27.0,11.0,6.0,6.0,4.0,19.0,32.0,3.0,28.0,25.0,23.0,17.0,18.0,5.0,18.0,34.0,15.0,8.0,8.0,36.0,18.0,12.0,7.0,10.0,20.0,39.0,45.0,10.0,34.0,16.0,4.0,23.0,15.0,22.0,5.0,60.0,20.0,15.0,3.0,14.0
17,COERCE,2.0,2.0,5.0,35.0,6.0,4.0,9.0,17.0,15.0,5.0,4.0,3.0,14.0,77.0,14.0,9.0,3.0,31.0,13.0,36.0,21.0,10.0,15.0,33.0,57.0,19.0,14.0,60.0,7.0,22.0,12.0,36.0,15.0,33.0,15.0,7.0,37.0,11.0,3.0,6.0,20.0,8.0,10.0,18.0,12.0,11.0,8.0,8.0,18.0,9.0,6.0,6.0,2.0,8.0,14.0,24.0,18.0,11.0,36.0,16.0,48.0,19.0,33.0,27.0,9.0,22.0,15.0,64.0,30.0,25.0,19.0,9.0,13.0,46.0,27.0,0.0
18,ASSAULT,7.0,0.0,5.0,8.0,12.0,7.0,13.0,0.0,5.0,33.0,1.0,8.0,11.0,39.0,16.0,16.0,6.0,8.0,10.0,8.0,23.0,21.0,4.0,2.0,4.0,8.0,16.0,9.0,14.0,9.0,15.0,22.0,11.0,23.0,9.0,0.0,3.0,4.0,3.0,0.0,5.0,2.0,8.0,13.0,14.0,16.0,70.0,12.0,5.0,38.0,4.0,41.0,0.0,8.0,2.0,6.0,21.0,10.0,11.0,28.0,10.0,14.0,24.0,17.0,17.0,15.0,33.0,155.0,110.0,19.0,72.0,13.0,42.0,42.0,0.0,0.0
19,FIGHT,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
20,USE UNCONVENTIONAL MASS VIOLENCE,302.0,117.0,75.0,106.0,60.0,73.0,125.0,132.0,249.0,452.0,140.0,463.0,850.0,831.0,842.0,536.0,711.0,402.0,252.0,348.0,375.0,346.0,311.0,263.0,324.0,216.0,132.0,349.0,169.0,244.0,122.0,249.0,150.0,103.0,104.0,124.0,154.0,132.0,45.0,50.0,130.0,166.0,234.0,217.0,177.0,180.0,204.0,136.0,141.0,135.0,193.0,208.0,151.0,151.0,205.0,380.0,228.0,192.0,176.0,478.0,368.0,1276.0,1557.0,723.0,523.0,416.0,385.0,344.0,347.0,319.0,362.0,351.0,237.0,391.0,246.0,43.0
