MonthYear,EventCode,N_events
201002,035,1
201002,012,72
201002,020,302
201002,1124,2
201002,154,20
201002,0841,97
201002,170,8
201002,040,511
201002,1123,23
201002,022,6
201002,160,16
201002,1246,17
201002,0211,3
201002,073,19
201002,081,2
201002,030,134
201002,013,94
201002,017,2
201002,072,17
201002,1711,3
201002,138,27
201002,037,2
201002,1831,3
201002,150,10
201002,130,35
201002,112,150
201002,163,1
201002,0311,16
201002,196,7
201002,186,6
201002,0331,5
201002,190,528
201002,0332,7
201002,080,93
201002,036,97
201002,1383,8
201002,045,7
201002,010,347
201002,070,65
201002,1121,4
201002,0871,95
201002,015,8
201002,183,6
201002,110,95
201002,060,63
201002,1241,1
201002,1043,1
201002,075,14
201002,032,3
201002,071,50
201002,185,1
201002,046,303
201002,043,397
201002,1053,2
201002,127,3
201002,0356,33
201002,182,1
201002,0214,1
201002,018,7
201002,1056,1
201002,113,1
201002,111,54
201002,175,5
201002,011,13
201002,055,1
201002,140,3
201002,166,1
201002,125,9
201002,0233,3
201002,0874,18
201002,181,39
201002,194,10
201002,161,2
201002,114,45
201002,014,15
201002,195,27
201002,057,41
201002,193,142
201002,145,1
201002,152,23
201002,141,28
201002,0333,1
201002,0353,2
201002,153,2
201002,120,71
201002,061,20
201002,173,267
201002,174,11
201002,016,16
201002,053,1
201002,084,57
201002,026,29
201002,172,9
201002,044,6
201002,051,264
201002,1821,3
201002,041,18
201002,180,46
201002,100,33
201002,023,4
201002,1712,5
201002,054,2
201002,090,69
201002,062,2
201002,042,270
201002,050,55
201002,203,1
201002,031,16
201002,128,10
201002,0833,1
201002,033,6
201002,0253,6
201002,192,24
201002,0256,3
201002,052,2
201002,025,7
201002,1724,22
201003,070,8
201003,154,3
201003,0233,1
201003,1124,2
201003,020,117
201003,081,5
201003,191,1
201003,046,69
201003,128,2
201003,150,5
201003,019,2
201003,0356,1
201003,051,48
201003,045,1
201003,0842,10
201003,110,6
201003,0871,5
201003,025,1
201003,012,20
