"Country","Market","Commodity","Price","Start","End","Currency","Measure",
"Yemen","Dhamar","Chicken meat","Retail","Aug-2015","Jan-2016","Yemeni Rial","Kg",
"Yemen","Dhamar","Millet","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Dhamar","Mutton meat","Retail","Jul-2015","Jan-2016","Yemeni Rial","Kg",
"Yemen","Dhamar","Onions","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Dhamar","Potatoes","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Dhamar","Sorghum","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Dhamar","Tomatoes","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Dhamar","Vegetable oil","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Dhamar","Wheat","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Dhamar","Wheat (flour)","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Hadramout","Chicken meat","Retail","Jul-2015","Jan-2016","Yemeni Rial","Kg",
"Yemen","Hadramout","Millet","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Hadramout","Mutton meat","Retail","Jul-2015","Jan-2016","Yemeni Rial","Kg",
"Yemen","Hadramout","Onions","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Hadramout","Potatoes","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Hadramout","Sorghum","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Hadramout","Tomatoes","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Hadramout","Vegetable oil","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Hadramout","Wheat","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Hadramout","Wheat (flour)","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Hajjah","Chicken meat","Retail","Jul-2015","Jan-2016","Yemeni Rial","Kg",
"Yemen","Hajjah","Millet","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Hajjah","Mutton meat","Retail","Jul-2015","Jan-2016","Yemeni Rial","Kg",
"Yemen","Hajjah","Onions","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Hajjah","Potatoes","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Hajjah","Sorghum","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Hajjah","Tomatoes","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Hajjah","Vegetable oil","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Hajjah","Wheat","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Hajjah","Wheat (flour)","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Hodeidah","Chicken meat","Retail","Jul-2015","Jan-2016","Yemeni Rial","Kg",
"Yemen","Hodeidah","Millet","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Hodeidah","Mutton meat","Retail","Jul-2015","Jan-2016","Yemeni Rial","Kg",
"Yemen","Hodeidah","Onions","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Hodeidah","Potatoes","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Hodeidah","Sorghum","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Hodeidah","Tomatoes","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Hodeidah","Vegetable oil","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Hodeidah","Wheat","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Hodeidah","Wheat (flour)","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Sanaa","Chicken meat","Retail","Jul-2015","Jan-2016","Yemeni Rial","Kg",
"Yemen","Sanaa","Millet","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Sanaa","Mutton meat","Retail","Jul-2015","Jan-2016","Yemeni Rial","Kg",
"Yemen","Sanaa","Onions","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Sanaa","Potatoes","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Sanaa","Sorghum","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Sanaa","Tomatoes","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Sanaa","Vegetable oil","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Sanaa","Wheat","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
"Yemen","Sanaa","Wheat (flour)","Retail","Jul-2015","Feb-2016","Yemeni Rial","Kg",
